url,Name,Email,Website,Phone_no,Address,Contact_person,Details
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=14572,Tori Ashley,Horsegirl901(at)aol.com,Phone:  434-962-9471,434-962-9471,"Afton,VA 22920",No contact Person,"I am a certified Equine and K9 massage therapist, here to assist in the relieving equine and K9 muscle soreness so the animals can perform at their best. This is not a substitute for veterinary care, however it is a therapy that aids in the animals overall performance and feeling. 

Equines are $100 a massage and K9s are $50 a massage. When traveling farther than an hour from the Charlottesville area a fee may be added or multiple horses may be required to make the trip."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=14593,The Roaming Equestrian,Lesliettrimble(at)gmail.com,https://lesliettrimble.wixsite.com/theroamingequestrian,,"[MAP]307 college laneAlderson,",Leslie Trimble,"Leave your home, farm, and/or pets with a trusted caretaker! With over 10 years experience farm and Pet Sitting and over 20 working with horses and animals I have the skills, knowledge, and compassion to care for your animals while you are away. 

Offering short and long term on site farm sitting. I offer care of livestock, horses, and domestic pets alongside basic farm chores, household chores, and gardening.
​
Price is calculated based on number of animals, chores, and detail of care. I work with you to set a per day price based on your needs."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=14584,NOVA Equestrian Center,novaeqc(at)gmail.com,http://www.novaeqc.comPhone:  7039885001,7039885001,"[MAP]24556 James Monroe HwyAldie,",NOVA Equestrian Center,"For top performance and wellness-centered training, join us at the NOVA Equestrian Center! 

We are the ONLY Equestrian Center in the region to have a fitness and rehab center co-located on the property... and we go above and beyond just sharing the property - we INCLUDE water treadmill sessions (with solarium and 3D vibrating floor) in our TRAINING BOARD PROGRAMS!

It's the best well-rounded training program available and we've designed our programs to benefit EVERY RIDDEN HORSE, regardless of fitness level and discipline.

Come take a tour and see our newly updated facility and amenities. We can't wait to show you around.

Email us info@novaeqc.com for more information and to schedule a tour!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11849,Certified Equine Massage,magraha79(at)gmail.com,,,"Alexandria,VA 22305",No contact Person,"I am a certified equine massage therapist, specializing in deep tissue sports massage, that is not only beneficial to the equine athlete, but horses of any age or condition. 

Some of the benefits of massage include:

* Increased circulation
* Improved range of motion
* Increase in production of synovial fluid to the joints
* Decrease in muscle tension and pain

Rates:

- $45.00 per horse (full-body massage usually lasts around one hour)

- $10.00 travel fee outside of 25 mile radius

Please contact me for more information, rates or to schedule an appointment!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12469,EquiYogi,equiyogi(at)gmail.com,,,"Alexandria,VA 22303",No contact Person,"www.EquiYogi.com is a website dedicated to adding positive awareness and balance to your riding by combining aspects of yoga and equestrianism. Subscribe for free weekly tips and suggestions on becoming a healthier, happier you, and a better partner for your horse."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12817,Lacy Laubacher Massage Therapy,info(at)lacylaubacher.com,http://www.lacylaubacher.com/Phone:  9105818476,9105818476,"Alexandria,VA 22301",No contact Person,"As a horse and human massage therapist, I work with trainers/riders/owners to bring out the best performance in both horse and rider. I am an experienced competitor-just in the world of rodeo-but I understand the demands of competition and the athletic life. That's why I keep it simple, effective, and comprehensive. I am happy to provide in between session support, barn rates, clinics, and video support."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12239,UnCommon Touch,ingrdo(at)gmail.com,http://www.uncommontouch.info Phone:  540-316-8034,Phone540-316-8034,"[MAP]742 South Poes RoadAmissville,",Ingrid Oliphant,"The work I do with animals and humans is very similar.  I work intuitively, sometimes with a focus on a particular issueinjury, illness, emotions.  Other times, I just get out of the way and let the energy work its magic.  There is no modality or methodology.  I just bring a Gift that effects mind, body and spirit in miraculous ways. 

A key difference when working with animals is communication.  Humans, generally speaking, have a pretty good grasp of what's going on with them and can share verbally. With horses and other four-legged friends, things are a little different.  Human companions can share with me a veterinarian's diagnosis or describe symptoms. Sometimes they are right but, again, generally speaking, that's not the entire picture.  So, when working with animals I listen.  I'm not an animal communicator' in the sense that most people presume one to be.  I just listen' with all of my senses and allow an animal's response to me and the energy guide how I move and breathe.  

There are those who attempt to explain how the energy works.  The truth is, no one knows.  In my case, the only thing I know is that it does work. It works on dramatically shortening recovery time after acute injury; elimination of chronic injury and illness; emotional & physical trauma; behavioral issues for which no one else has found solutions.  I can't explain it and don't go looking for the how or why.  I just watch lame and wild horses transform into healthy, happy, active creatures.  I see paralyzed pooches wag, walk and otherwise be hale and hearty.

The fee for animal work (including distance healing) is $85 for one hour.

For testimonials, please go to: http://www.uncommontouch.info/UnCommonTouch.com/Animal_Work.html"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=14621,Wings of Hope Ranch,admin(at)wingsofhoperanch.org,http://www.wingsofhoperanch.orgPhone:  804-485-4045,804-485-4045,"Ashland,VA 23005",No contact Person,"Wings of Hope Ranch is a Christian ministry where rescued horses and children come together to find hope and healing. The ranch is located in western Hanover, VA. Volunteers, supporters and ministry partners wanted! Learn more at www.wingsofhoperanch.org"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12426,Pinecrest Stables,Pinecrest_stables(at)yahoo.com,http://Www.pinecreststables.weebly.comPhone:  276-226-0766,276-226-0766,"[MAP]869 Muddy Fork RdBassett,",Leah Metz-Hylton,"Full service equestrian facility located on almost 1300 acres. We host events all yr long in our large lit outdoor arena & round pen. From competitive or pleasure riding we offer lessons & instruction for both you and your horse in a safe & fun atmosphere. 4-H, gymhkhana, trail, competitive trail riding,  hunter under saddle, western pleasure, western performance, saddleseat, walking & racking.  Beginners to advanced. Clinics, day camps, birthday parties, pony rides, guided trail rides, training, transportation, boarding, breeding of high quality appaloosas & performance quarter horses, equine & tack sales. Certified instructor & licensed vet tech on site 24 hrs. Family atmosphere, let us help u with your equestrian needs!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=14671,LG Performance Horses LLC and Therapy,lazygfarms12(at)gmail.com,http://Facebook.com/LazyGFarmsTrainingPhone:  5404922365,5404922365,"Bedford ,VA 24523",No contact Person,"Certified Equine Sports Massage Therapist 
Other Therapy Modalities available tailored specifically to your horses needs."
