url,Name,Email,Website,Phone_no,Address,Contact_person,Details
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11577,Rappahannock Animal Welfare League - RAWL,,Click Image to View Larger,ImagetoViewLarger,"Amissville,VA 20106",No contact Person,No Details
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12426,Pinecrest Stables,Pinecrest_stables(at)yahoo.com,http://Www.pinecreststables.weebly.comPhone:  276-226-0766,276-226-0766,"[MAP]869 Muddy Fork RdBassett,",Leah Metz-Hylton,"Full service equestrian facility located on almost 1300 acres. We host events all yr long in our large lit outdoor arena & round pen. From competitive or pleasure riding we offer lessons & instruction for both you and your horse in a safe & fun atmosphere. 4-H, gymhkhana, trail, competitive trail riding,  hunter under saddle, western pleasure, western performance, saddleseat, walking & racking.  Beginners to advanced. Clinics, day camps, birthday parties, pony rides, guided trail rides, training, transportation, boarding, breeding of high quality appaloosas & performance quarter horses, equine & tack sales. Certified instructor & licensed vet tech on site 24 hrs. Family atmosphere, let us help u with your equestrian needs!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12425,Leasor Farrier Services,farrierjon(at)hotmail.com,Phone:  304-671-1124,304-671-1124,"[MAP]131 Allegheny Ridge LaneBerryville,",Jon Leasor,Balanced trimming and shoeing for the performance horse.
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12747,Cadillac Cup Polo,tracey(at)echelon-events.com,http://cadillaccuppolo.com/Phone:  804-305-0601,804-305-0601,"[MAP]1082 Forest Lodge LaneCharlottesville,",Tracey Leverty,"Here is your chance to be a part of an incredible event that provides an environment unlike any other! This action-packed afternoon combines sports, entertainment, business networking and charitable giving to provide a fun and fulfilling day with friends and colleagues, old and new!

The 2013 Cadillac Cup is privileged to support four charities; all doing incredible work both locally and globally.

- Goochland Free Clinic and Family Services

- Virginia Wounded Warrior Program

- Ronald McDonald House Charities of Richmond

- Virginia Polo Center

By supporting this event, numerous objectives can be met from a business perspective:

 Your brand will be exposed to a desirable demographic through recognition at the event, as well as in all pre-event marketing tie-ins.

 Your afternoon will be spent networking in a relaxed and glamorous atmosphere with plenty of time to mingle with your peers while sipping champagne, savoring a gourmet lunch and being entertained by the fast paced action of Polo.

 Your business will be poised for inclusion in future matches, which promises to become a highly sought after and sold out affair."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=10059,"Northern Virginia Therapeutic Riding Program, NVTRP",info(at)nvtrp.org,http://www.nvtrp.orgPhone:  703-764-0269,703-764-0269,"[MAP]PO Box 184Clifton,","Breeana Bornhorst, Executive Director","The Northern Virginia Therapeutic Riding Program provides equine assisted activities and therapeutic riding to children and adults with disabilities, youth-at-risk, veterans and their families in an inclusive, community setting. We work with those who are challenged physically, mentally, and emotionally. By focusing on each rider's ability rather than disability, we have enjoyed a high rate of success in areas such as improved balance, coordination, muscular strength, social skills, and self-confidence. 

Our program is accredited and nationally recognized by the North American Riding for the Handicapped Association (NARHA). Lessons are taught by NARHA Certified Riding Instructors assisted by up to threed volunteers per rider. This structure enables our riders to participate in a challenging, physically active sport. Through this unique riding opportunity, our students achieve enriched quality of life."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12241,Bordeaux Farms,bordeauxfarms07(at)gmail.com,http://www.bordeauxfarms.comPhone:  804.761.2614,804.761.2614,"[MAP]1543 Beahm Town RoadCulpeper,",Jacob Dudek,"Bordeaux Farms, LLC was established for a training, boarding and breeding facility for the enhancement of equine.  We want horses and people to accel at their passion.  Bordeaux Farms is in beautiful Madison County, between Culpeper and Orange on the Robinson River. 

This family owned facility includes 168 acres of gently rolling hills, wooded trails, lush green pastures, streams, springs and approximatly a mile of river frontage.  The entire farm is fenced and crossed fenced. Our main stable features 18 stalls, while our other barns feature 27  miniature to draft sized stalls.

Amenties include: Climate controlled lounge with cable t.v., 2 bathrooms (one with a shower), laundry, tackrooms, lockers, one hot/cold wash stall, 3 outdoor wash stalls for cooling down in the summer heat, lighted 100 x 200 riding arena with judges stand, smaller lighted riding ring and trails around the farm.

Bordeaux Farms is a full-service boarding and training facility for all disciplines.  Where boarded horses are turned out daily in one of our 25 boarded paddocks.."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=13558,Virginia Horse Festival,kdixon(at)meadoweventpark.com,http://www.virginiahorsefestival.comPhone:  8042901137,8042901137,"[MAP]13111 Dawn Blvd.Doswell,",Kathy Dixon,"The second annual Virginia Horse Festival presents a comprehensive look at the equestrian industry with three days of clinics, demonstrations, exhibits and shopping. It's April 1-3, 2016, at The Meadow Event Park, birthplace of Secretariat. This year we host the Colt Starting Challenge USA, where contestants compete to gentle and ride a previously unbroken horse. Go to www.virginiahorsefestival.com for more information."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11392,Secret Passage Ranch,,No website link,No Pone number,"Fort Valley,VA 22652",No contact Person,No Details
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11672,Battlefield Park Polo Club,delorab(at)hotmail.com,http://www.battlefieldparkpolo.comPhone:  239-989-2011,239-989-2011,"[MAP]5704 Pageland LaneGainesville,",Dori  Burner,"Battlefield Park Polo Club is a United States Polo Association recognized club and is multi-use facility which offers a wide range of services to fulfill your equestrian needs, polo, jumping, and dressage are taught here. 

Battlefield Park Polo is located just 2 miles off I-66 at exit 43B in Gainesville and we are just across the street from the historic Manassas Battlefield where there are miles of trails.  

We have recently completed construction on a large outdoor arena 120' x 200', an indoor arena 75' x 150' with 10 attached stalls and a 400 sq. ft.  lounge/tack/viewing area.  We have another new 10 stall barn with tack and feed room, and a new guest house.  We have 25 acres of turnout available for our 18 school horses.

Battlefield Park offers a wide range of services: Riding Lessons in all Disciplines, Polo Lessons, Summer Camp, Green/Problem Horse Training, Farrier, Transportation, Boarding,  Pony Club Activities, Trail Riding, Tack Sales, Horse Sales, Horse Leasing, Event Services such as Pony Parties, Weddings, and Corporate Polo Parties and Trail Rides.

We offer USPA Interscholastic and Intercollegiate Polo Programs.

We have clients of all ages who can come to Battlefield Park Polo to learn how to ride and enjoy horses. We have exceptionally low prices and make horses accessible to everyone!  Come out and have some fun!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11659,Total Equine Veterinary Associates (Drs Jay Joyce and Sallie Hyman),info(at)totalequinevets.com,http://www.totalequinevets.comPhone:  703 505 2320,7035052320,"Leesburg,VA 20176",No contact Person,"Complete equine veterinary and dental services.
24/7 Emergency coverage. Specialists.
Digital rads, lameness eval, pre-purchase exams.
Comprehensive Wellness Programs.
Great team. Great practice."
