url,Name,Email,Website,Phone_no,Address,Contact_person,Details
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12262,GroundWorX LLC,groundworxllc(at)gmail.com,Phone:  540-270-6227,540-270-6227,"Amissville,VA 20106",No contact Person,"Equestrian Development

Design, Layout & Install

Grading, clearing, driveways, pad sites, fencing, etc.

Feel free to shoot us an email with your project info!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12263,GroundWorX LLC,groundworxllc(at)gmail.com,http://www.groundworx-llc.comPhone:  540-270-6227,540-270-6227,"[MAP]Colvin RdAmissville,",GroundWorX  LLC,"Full Service Estate Maintenance & Renovation company. If you need it done, we'll take care of it! We use only the FINEST materials you can buy and never cut corners. Our attention to detail is what separates us from the rest! You can rest assured a project completed by us here at GroundWorX... is a ""job well done!""
Fencing*Tree Service Work*Clearing*Barns*Riding Rings*Bulk Deliveries*Concrete Work*Retaining Walls*Lawn Care*Outdoor Living Areas* ETC*** 1 call solves it all!! 540.270.6227 Locally owned and operated. Licensed and Insured"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12001,E. T. Electric,edtberry1(at)aol.com,Phone:  540-717-5306,540-717-5306,"[MAP]Charlottesville/Green/Madison/CulpeperAnd Surrounding Area,",Ed Berry,"Certified master electrician.  Works with new construction or equally skilled with ""antique"" homes and everything in between.  30+ years of experience.  Free estimates.  MANY local, high quality references!  Call Ed Berry at 540-717-5306"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=10077,Weese Paso Fino Farm [Manure Removal * Shavings/Sawdust Del. * Farm Services],weesepasos(at)msn.com,Phone:  540-439-9337,540-439-9337,"[MAP]10635 Fox Plantation LaneBealeton,",Randy  & Janet  Weese,"Manure Removal & Shavings/Sawdust Delivery: Pine   

Competitive & Affordably Priced * Convenient * Prompt Reliable Service near Warrenton,Va.  

  ""Can do both in 1 trip: Manure Out & Bedding In"" 

Our Prices are Competitive with High Customer Satisfaction.

We deliver 2 types of Bedding.  We have real Shavings & Fresh, Premium ""All Pine"" Sawdust. Our Sawdust is from the tree/log to the mill straight into the truck, then unloaded into our cover-all building.    

We have vets, farriers, trainers, big & little farms,farmers etc. using our products & services for years!!!

We also have extra product trucked in & out of the area; so that we can have sawdust or shavings readily available.  

We do bulk to save horse people money!     

We also offer dump trucks & semi tractor trailer load size of shavings or sawdust.  

We can deliver semi-tractor trailer loads of bedding or haul manure out to/from other areas and other states! 

We bring to every job Yards of Knowledge in Horses & Farming as we, both was born into the business of bedding and manure, etc!   
 
Complete Manure Removal & Haul Away - No size too Small or too Large... even semi tractor trailer load size. We can do it all & get it done! We bring our tractor with a loader with a dump truck or if needed 2 dump trucks clean up the manure.

We also have Black Gold or Green [Fresh] Compost, Top Soil/Mulch & Wood Chips for Run-In Sheds, play grounds, etc.  

Serving Northern Virginia Areas including Fauquier, Culpeper, Loudoun, Clark, Warren, Frederick & Stafford Counties plus the Surrounding Areas including some of Md.& Wv.
 
Call Randy Weese at 540-439-9337
Weese Paso Fino Farm, LLC.  

Colorful Smooth Gaited Paso Finos For Sale. Paso Finos are great for people that have had back, neck, hip injuries, etc. We have Pintos, Bay, Chestnut & Black/White Pinto Stallion.

If we don't have the paso you are looking for; we will help you find the correct paso. Have been in the breed since early 80's!"
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12429,Millstone Horse Farm,millstone.horse.farm(at)gmail.com,http://millstonehorsefarm.comPhone:  540-327-5605,540-327-5605,"[MAP]201 allegheny ridge laneberryville,",shawna miller,
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=13890,Wiley's Diversified Services,Mountainpeach01(at)aol.com,http://www.wileysdiversifiedservices.com/Phone:  5403266602,5403266602,"Bluemont,VA 20135",No contact Person,"We are a locally owned company.Custom Barns ,Run ins and More ."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11786,Greenway Forge,gwforge(at)verizon.net,http://www.greenwayforge.com/Phone:  540-837-2256,540-837-2256,"[MAP]12001 Lord Fairfax Hwy.Boyce,",albert andersen,"Custom ironwork including railings, gates, fencing, barn hardware."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12099,"Equne Property Solutions, Horse Farm Planning & Consulting Service",EquineSolutions(at)ntelos.net,Phone:  540 293-1347,540293-1347,"[MAP]Poplar Ridge FarmBuchanan,",Phyllis Johnson,"Have a new farm or need to revamp your existing facility? I have a lifetime of owning horses & farms to help you make your farm chores easier & more time with your horses.Services include: Lay-out and design of barns and/or run-in sheds. Positioning of barns, pastures, etc. Pasture management techniques. Safe fencing options. Manure managment. Consultants for as little as $65. Call or e-mail for more information."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=11643,T G Barwick Landscape Company LLC,tgbarwick(at)yahoo.com,Phone:  703-987-4703,703-987-4703,"[MAP]3650 Dunigan CourtCatharpin,",Timothy Barwick,"We offer the following farm services:
Mowing, Bush Hogging,Pasture Maintenance including seeding and fertilizing., Manure Removal, Erosion Control, Horse Fencing, Gravel Driveways, Riding ring construction, restoration and maintenance, Trail Building.  

We also offer custom made jump construction at affordable prices.  

Additional Services include Tree & Brush Removal & Chipping, Gravel & Muclh Delivery, Planting, Mulching,lawn care.

Class C Contractors License."
http://www.virginiaequestrian.com/main.cfm?action=greenpages&sub=view&ID=12687,Rainwater Management Solutions,kbowman(at)rainwatermanagement.com,http://rainwatermanagement.com/Phone:  434-293-4485,434-293-4485,"[MAP]418 E Main St.Charlottesville,",Kelly Bowman,"Dusty arena?  Tame the dust and save your well with a rainwater harvesting system!  
One inch of rain on a 1,000 sq.ft. roof yields 620 gallons of rainwater.

Collected rainwater can be used for:
irrigation, washing, and laundry
watering arenas & animals
filling pools & ponds 

RMS provides residential, agricultural, commercial, and industrial rainwater harvesting solutions designed to maintain high water quality with low maintenance systems.

We have systems installed across Virginia, Maryland, and DC at homes, businesses, and farms.  Collect up to 95% of your water and never clean a tank again with our exclusive WISY self-cleaning filters!"
